,sex,age,read_write,head_house,home_dept,home_city,mex_port,trans_crossm,coyote_usd,first_state,first_city,second_state,second_city,long_state,long_city,us_entry,trans_crossu,reason,fellow_trav
0,Hombre,47,Sí,Sí,Choluteca,San Antonio de Flores,La Mesilla,Ninguno (caminando o nadando),No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Puebla,Heróica Puebla de Zaragoza (Puebla),San Luis Potosí,San Luis Potosí (San Luis Potosí),Nuevo León,Monterrey (Nuevo León),Nuevo Laredo (Tamaulipas),Ninguno (caminando o nadando),Buscar trabajo,Ninguna
1,Hombre,19,Sí,No,Francisco Morazán,San Antonio de Oriente,Tecún Umán,Autobús o camioneta,2500,Tamaulipas,Reynosa (Tamaulipas),Chiapas,Tapachula de Córdova y Ordóñez (Chiapas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,5
2,Hombre,24,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Francisco Morazán,San Miguelito,Tecún Umán,Autobús o camioneta,3000,Distrito Federal,No especificado,Nuevo León,Monterrey (Nuevo León),Nuevo León,Monterrey (Nuevo León),Miguel Alemán (Brecha 124 entre Kilómetro 15 y 16 Norte) (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Estudiar,8
3,Hombre,18,Sí,No,Francisco Morazán,San Antonio de Oriente,La Mesilla,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Puebla,Heróica Puebla de Zaragoza (Puebla),Nuevo León,Monterrey (Nuevo León),Puebla,Heróica Puebla de Zaragoza (Puebla),Nuevo Laredo (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,2
4,Hombre,19,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,617,Tecún Umán,Autobús o camioneta,3000,Distrito Federal,Benito Juárez (Distrito Federal),Chiapas,Tapachula de Córdova y Ordóñez (Chiapas),Nuevo León,Monterrey (Nuevo León),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Estudiar,6
5,Hombre,23,Sí,Sí,Islas de la Bahía,1111,Gracias a Dios,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Distrito Federal,No especificado,Tamaulipas,Ciudad Miguel Alemán (Tamaulipas),Tamaulipas,Ciudad Miguel Alemán (Tamaulipas),Miguel Alemán (Brecha 124 entre Kilómetro 15 y 16 Norte) (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,1
6,Hombre,20,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,La Paz,Cane,Gracias a Dios,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Tuxtla Gutiérrez (Chiapas),Tabasco,Villahermosa (Tabasco),Distrito Federal,No especificado,Piedras Negras (Coahuila de Zaragoza),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,2
7,Hombre,21,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Copan,San Jerónimo,La Mesilla,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Tapachula de Córdova y Ordóñez (Chiapas),Nuevo León,Monterrey (Nuevo León),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,Ninguna
8,Hombre,32,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Copan,San Jerónimo,Tecún Umán,Ninguno (caminando o nadando),No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Chiapa de Corzo (Chiapas),Veracruz de Ignacio de la Llave,Tierra Blanca (Veracruz de Ignacio de la Llave),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,Ninguna
9,Hombre,21,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Francisco Morazán,San Miguelito,La Mesilla,Ninguno (caminando o nadando),No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Arriaga (Chiapas),Tamaulipas,Reynosa (Tamaulipas),Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Reunirse con familiares,4
